["port 1","LEFT"]
["port 2","LEFT"]
["port 3","LEFT"]
["port 4","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(5, 3)
1.8737028625000000e+14 4.5468307989041694e-03 2.9462715843642395e+00
1.9049312435416666e+14 1.4660063156664346e-03 3.5041688422397352e+00
1.9361596245833331e+14 4.7150565328038253e-04 2.0157856722546916e+00
1.9673880056250000e+14 1.8364536524738610e-03 -1.8680704243977572e-01
1.9986163866666666e+14 2.9509749227634020e-03 1.8200843752680992e-01
("port 1","mode 1",1,"port 2",1,"transmission")
(5, 3)
1.8737028625000000e+14 9.1972399814955363e-01 -5.9185442300495938e-01
1.9049312435416666e+14 9.3735935383027069e-01 -3.6981569348877055e+00
1.9361596245833331e+14 9.5056893488749916e-01 -6.7796426029518582e+00
1.9673880056250000e+14 9.6017586224322626e-01 -9.8420620936793881e+00
1.9986163866666666e+14 9.6678154259485616e-01 -1.2890294943556512e+01
("port 1","mode 1",1,"port 3",1,"transmission")
(5, 3)
1.8737028625000000e+14 3.9442662547925882e-03 2.2270584522729782e+00
1.9049312435416666e+14 3.7645442798369773e-03 -3.6882344012546607e-02
1.9361596245833331e+14 1.2308580164911410e-03 -2.6379557977429382e+00
1.9673880056250000e+14 1.2617740873403483e-03 -1.3093930900634712e+00
1.9986163866666666e+14 1.7296490070378469e-03 -4.1734733664989685e+00
("port 1","mode 1",1,"port 4",1,"transmission")
(5, 3)
1.8737028625000000e+14 3.7886036849496929e-01 -1.4022416011295826e+00
1.9049312435416666e+14 3.4215065584545096e-01 1.6954126384520989e+00
1.9361596245833331e+14 3.0771391430105699e-01 4.8168097609356071e+00
1.9673880056250000e+14 2.7565897597501454e-01 7.9570864709936506e+00
1.9986163866666666e+14 2.4631081459881748e-01 4.8290733616225108e+00
("port 2","mode 1",1,"port 1",1,"transmission")
(5, 3)
1.8737028625000000e+14 9.1960986215585538e-01 -5.9203933824590071e-01
1.9049312435416666e+14 9.3732145314943904e-01 -3.6982458884513769e+00
1.9361596245833331e+14 9.5055723143067372e-01 -6.7796766949220597e+00
1.9673880056250000e+14 9.6013095624243150e-01 -9.8420782132776772e+00
1.9986163866666666e+14 9.6664574672942216e-01 -1.2890330552364549e+01
("port 2","mode 1",1,"port 2",1,"transmission")
(5, 3)
1.8737028625000000e+14 4.6545501278029760e-03 2.9481335455234681e+00
1.9049312435416666e+14 1.4960195185941684e-03 3.5230390235188498e+00
1.9361596245833331e+14 4.9608040766456148e-04 2.0322974751777676e+00
1.9673880056250000e+14 1.8078468813509344e-03 -1.8332808609792026e-01
1.9986163866666666e+14 2.8275179151428412e-03 2.0523449202942359e-01
("port 2","mode 1",1,"port 3",1,"transmission")
(5, 3)
1.8737028625000000e+14 3.7886131320402072e-01 1.7391407318397378e+00
1.9049312435416666e+14 3.4215226559898082e-01 4.8367865408892250e+00
1.9361596245833331e+14 3.0771509365656285e-01 7.9581759902299254e+00
1.9673880056250000e+14 2.7565931790496773e-01 1.1098442739224735e+01
1.9986163866666666e+14 2.4631140013767452e-01 7.9704205067226654e+00
("port 2","mode 1",1,"port 4",1,"transmission")
(5, 3)
1.8737028625000000e+14 3.9878636536813663e-03 -9.3536086427995502e-01
1.9049312435416666e+14 3.7404392806868673e-03 -3.1993602581519394e+00
1.9361596245833331e+14 1.1842160015408261e-03 -5.8237072614204290e+00
1.9673880056250000e+14 1.3184662893705602e-03 -4.4677551669936353e+00
1.9986163866666666e+14 1.7749098207000013e-03 -7.3290552527174126e+00
("port 3","mode 1",1,"port 1",1,"transmission")
(5, 3)
1.8737028625000000e+14 2.1767189636421724e-03 2.4469000321895980e+00
1.9049312435416666e+14 2.3053156685432208e-03 -4.8133070284910962e-01
1.9361596245833331e+14 2.0309376051126748e-03 -3.5597919462890339e+00
1.9673880056250000e+14 1.5070464855611188e-03 -5.3842121345680993e-01
1.9986163866666666e+14 1.4313671680248961e-03 2.3988985526460698e+00
("port 3","mode 1",1,"port 2",1,"transmission")
(5, 3)
1.8737028625000000e+14 3.7813045812021601e-01 1.7391151380561047e+00
1.9049312435416666e+14 3.4147322716087697e-01 4.8369277081125261e+00
1.9361596245833331e+14 3.0710702195179701e-01 7.9584964665524147e+00
1.9673880056250000e+14 2.7519022667140153e-01 1.1098741036171933e+01
1.9986163866666666e+14 2.4598202954275777e-01 7.9706408246288571e+00
("port 3","mode 1",1,"port 3",1,"transmission")
(5, 3)
1.8737028625000000e+14 1.4022552396668251e-02 2.8652671426814025e+00
1.9049312435416666e+14 2.1370155766618514e-02 5.4861361189616638e+00
1.9361596245833331e+14 3.7637235989433637e-03 8.0258996706755852e+00
1.9673880056250000e+14 5.2847672070749545e-03 6.0808896237036967e+00
1.9986163866666666e+14 3.0054590729408875e-03 7.3042115111709087e+00
("port 3","mode 1",1,"port 4",1,"transmission")
(5, 3)
1.8737028625000000e+14 8.9913854156587814e-01 -2.2037358302786640e+00
1.9049312435416666e+14 9.2299687107664963e-01 8.0949200304519731e-01
1.9361596245833331e+14 9.4000270593851110e-01 3.8484660340731813e+00
1.9673880056250000e+14 9.5181886469144494e-01 6.9077155319316024e+00
1.9986163866666666e+14 9.5981678197961640e-01 9.9820857556863150e+00
("port 4","mode 1",1,"port 1",1,"transmission")
(5, 3)
1.8737028625000000e+14 3.7810124505394971e-01 -1.4024898967477009e+00
1.9049312435416666e+14 3.4145858701370468e-01 1.6954169354744479e+00
1.9361596245833331e+14 3.0709495644811247e-01 4.8170776509786615e+00
1.9673880056250000e+14 2.7517092362421841e-01 7.9573735603231039e+00
1.9986163866666666e+14 2.4594576809865937e-01 4.8292711767124512e+00
("port 4","mode 1",1,"port 2",1,"transmission")
(5, 3)
1.8737028625000000e+14 2.1922310445954335e-03 -7.3306362801282765e-01
1.9049312435416666e+14 2.3214111092885394e-03 -3.6586656246524241e+00
1.9361596245833331e+14 2.0425290232541004e-03 -6.7394101570296279e+00
1.9673880056250000e+14 1.5350629162572001e-03 -3.7148044052401383e+00
1.9986163866666666e+14 1.4745584080348138e-03 -7.6392652548809192e-01
("port 4","mode 1",1,"port 3",1,"transmission")
(5, 3)
1.8737028625000000e+14 8.9913751266227970e-01 -2.2037374433165500e+00
1.9049312435416666e+14 9.2299736000799559e-01 8.0949257039023814e-01
1.9361596245833331e+14 9.4000291086172583e-01 3.8484660226833189e+00
1.9673880056250000e+14 9.5181824192928643e-01 6.9077154826086336e+00
1.9986163866666666e+14 9.5981838926373997e-01 9.9820866352559392e+00
("port 4","mode 1",1,"port 4",1,"transmission")
(5, 3)
1.8737028625000000e+14 1.3909894190414626e-02 2.8398454362255912e+00
1.9049312435416666e+14 2.1397563439575332e-02 5.4674027752997656e+00
