["port 1","LEFT"]
["port 2","RIGHT"]
["port 3","LEFT"]
["port 4","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(5, 3)
1.8737028625000000e+14 4.5495834459913847e-03 2.9468554739148223e+00
1.9049312435416666e+14 1.4673362231722316e-03 3.5047228221306419e+00
1.9361596245833331e+14 4.7095887516024256e-04 2.0148357441098104e+00
1.9673880056250000e+14 1.8380708789426346e-03 -1.8606337638568193e-01
1.9986163866666666e+14 2.9539851594499490e-03 1.8261878933936276e-01
("port 1","mode 1",1,"port 2",1,"transmission")
(5, 3)
1.8737028625000000e+14 9.1971744616138595e-01 -5.9185610303817981e-01
1.9049312435416666e+14 9.3735596046030412e-01 -3.6981581391717766e+00
1.9361596245833331e+14 9.5056903194052922e-01 -6.7796426485210928e+00
1.9673880056250000e+14 9.6017942063895290e-01 -9.8420612733588371e+00
1.9986163866666666e+14 9.6678785767144826e-01 -1.2890293389623096e+01
("port 1","mode 1",1,"port 3",1,"transmission")
(5, 3)
1.8737028625000000e+14 3.7886120896129177e-01 -1.4022381753135762e+00
1.9049312435416666e+14 3.4215204778017266e-01 1.6954125336317514e+00
1.9361596245833331e+14 3.0771483167024494e-01 4.8168064754264703e+00
1.9673880056250000e+14 2.7565900787800934e-01 7.9570831147243579e+00
1.9986163866666666e+14 2.4631059108104200e-01 4.8290719863969400e+00
("port 1","mode 1",1,"port 4",1,"transmission")
(5, 3)
1.8737028625000000e+14 3.9438300341701586e-03 2.2269383402424463e+00
1.9049312435416666e+14 3.7651005996240760e-03 -3.6866798698747406e-02
1.9361596245833331e+14 1.2304624779135825e-03 -2.6378245603586450e+00
1.9673880056250000e+14 1.2618747620775498e-03 -1.3090924773259618e+00
1.9986163866666666e+14 1.7293483910211212e-03 -4.1736657647341247e+00
("port 2","mode 1",1,"port 1",1,"transmission")
(5, 3)
1.8737028625000000e+14 9.1960327494074834e-01 -5.9204106243026300e-01
1.9049312435416666e+14 9.3731808870359401e-01 -3.6982471205219833e+00
1.9361596245833331e+14 9.5055740651334042e-01 -6.7796767464394598e+00
1.9673880056250000e+14 9.6013458578294597e-01 -9.8420773114024929e+00
1.9986163866666666e+14 9.6665209202106617e-01 -1.2890328885958340e+01
("port 2","mode 1",1,"port 2",1,"transmission")
(5, 3)
1.8737028625000000e+14 4.6573423914934879e-03 2.9487072474328606e+00
1.9049312435416666e+14 1.4974029537645518e-03 3.5235716783893554e+00
1.9361596245833331e+14 4.9543874473722161e-04 2.0312948398720692e+00
1.9673880056250000e+14 1.8095548387886884e-03 -1.8253363956131191e-01
1.9986163866666666e+14 2.8307133645270829e-03 2.0587706075465703e-01
("port 2","mode 1",1,"port 3",1,"transmission")
(5, 3)
1.8737028625000000e+14 3.9874382423283200e-03 -9.3548143723860644e-01
1.9049312435416666e+14 3.7409958098807696e-03 -3.1993419341463709e+00
1.9361596245833331e+14 1.1838121930600645e-03 -5.8235874556360354e+00
1.9673880056250000e+14 1.3185614191537965e-03 -4.4674683918429912e+00
1.9986163866666666e+14 1.7746115171036162e-03 -7.3292463028191914e+00
("port 2","mode 1",1,"port 4",1,"transmission")
(5, 3)
1.8737028625000000e+14 3.7886215302721649e-01 1.7391441567632788e+00
1.9049312435416666e+14 3.4215365697753614e-01 4.8367864367242035e+00
1.9361596245833331e+14 3.0771601096397899e-01 7.9581727059811831e+00
1.9673880056250000e+14 2.7565935005086478e-01 1.1098439383220462e+01
1.9986163866666666e+14 2.4631117672579181e-01 7.9704191302674925e+00
("port 3","mode 1",1,"port 1",1,"transmission")
(5, 3)
1.8737028625000000e+14 3.7810035478309489e-01 -1.4024870154176192e+00
1.9049312435416666e+14 3.4145915554651529e-01 1.6954159471385897e+00
1.9361596245833331e+14 3.0709569232499251e-01 4.8170738950050556e+00
1.9673880056250000e+14 2.7517123790289877e-01 7.9573706336909158e+00
1.9986163866666666e+14 2.4594611564853891e-01 4.8292712180221535e+00
("port 3","mode 1",1,"port 2",1,"transmission")
(5, 3)
1.8737028625000000e+14 2.1917957463362691e-03 -7.3320779253517265e-01
1.9049312435416666e+14 2.3217827604333926e-03 -3.6586028653513161e+00
1.9361596245833331e+14 2.0421683804550681e-03 -6.7394425747494155e+00
1.9673880056250000e+14 1.5355175333790101e-03 -3.7147648120672305e+00
1.9986163866666666e+14 1.4740228442080550e-03 -7.6407908856991613e-01
("port 3","mode 1",1,"port 3",1,"transmission")
(5, 3)
1.8737028625000000e+14 1.3909894190414626e-02 2.8398454362255912e+00
1.9049312435416666e+14 2.1397563439575332e-02 5.4674027752997656e+00
1.9361596245833331e+14 3.9948802700391292e-03 7.9365188144361403e+00
1.9673880056250000e+14 5.0109235022832693e-03 6.0195191958555458e+00
1.9986163866666666e+14 3.3723585985645879e-03 7.2493264405431912e+00
("port 3","mode 1",1,"port 4",1,"transmission")
(5, 3)
1.8737028625000000e+14 8.9913751266227970e-01 -2.2037374433165500e+00
1.9049312435416666e+14 9.2299736000799559e-01 8.0949257039023814e-01
1.9361596245833331e+14 9.4000291086172583e-01 3.8484660226833189e+00
1.9673880056250000e+14 9.5181824192928643e-01 6.9077154826086336e+00
1.9986163866666666e+14 9.5981838926373997e-01 9.9820866352559392e+00
("port 4","mode 1",1,"port 1",1,"transmission")
(5, 3)
1.8737028625000000e+14 2.1762566620598246e-03 2.4467671574926739e+00
1.9049312435416666e+14 2.3057017028583972e-03 -4.8126683066113113e-01
1.9361596245833331e+14 2.0305793266626694e-03 -3.5598229695188093e+00
1.9673880056250000e+14 1.5074970129678805e-03 -5.3839410594490988e-01
1.9986163866666666e+14 1.4308402727519077e-03 2.3987590689474900e+00
("port 4","mode 1",1,"port 2",1,"transmission")
(5, 3)
1.8737028625000000e+14 3.7812968158664073e-01 1.7391181217827909e+00
1.9049312435416666e+14 3.4147385047489226e-01 4.8369267107730849e+00
1.9361596245833331e+14 3.0710773596399155e-01 7.9584926977089179e+00
1.9673880056250000e+14 2.7519047700343252e-01 1.1098738125036247e+01
1.9986163866666666e+14 2.4598232403725820e-01 7.9706410089752682e+00
("port 4","mode 1",1,"port 3",1,"transmission")
(5, 3)
1.8737028625000000e+14 8.9913854156587814e-01 -2.2037358302786640e+00
1.9049312435416666e+14 9.2299687107664963e-01 8.0949200304519731e-01
1.9361596245833331e+14 9.4000270593851110e-01 3.8484660340731813e+00
1.9673880056250000e+14 9.5181886469144494e-01 6.9077155319316024e+00
1.9986163866666666e+14 9.5981678197961640e-01 9.9820857556863150e+00
("port 4","mode 1",1,"port 4",1,"transmission")
(5, 3)
1.8737028625000000e+14 1.4022552396668251e-02 2.8652671426814025e+00
1.9049312435416666e+14 2.1370155766618514e-02 5.4861361189616638e+00
1.9361596245833331e+14 3.7637235989433637e-03 8.0258996706755852e+00
1.9673880056250000e+14 5.2847672070749545e-03 6.0808896237036967e+00
1.9986163866666666e+14 3.0054590729408875e-03 7.3042115111709087e+00
